,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,RockWriter2,"PoliticalJournalism&humor,focused on FREEDOM,that ends up finding crimes.Also @EmilioPradilla,@BloodymirPutin & Fb's Jim Morrison II & Emilio Pradilla Fonrodona",,2690,544,8338,0,"#ElonMusk(@elonmusk)&amp; #OlafScholz(@OlafScholz)R #promises in a #PlanetEarth #BADLYinNeed of #sensitive #powerful #men,#women &amp; #children...I love #electricCars,#rockets R like #EnzoFerrari's #raceCars,a display of #tech,but #moon &amp; #mars pure #bs.

(#HitlersFightingKnife forSale) https://t.co/5G8W0methk","['ElonMusk', 'OlafScholz', 'promises', 'PlanetEarth', 'BADLYinNeed', 'sensitive', 'powerful', 'men', 'women', 'children', 'electricCars', 'rockets', 'EnzoFerrari', 'raceCars', 'tech', 'moon', 'mars', 'bs', 'HitlersFightingKnife']"
1,RevolutionsCen,,,4452,3534,207803,0,#power100 #powerful Wont reading #deep thoughts on 150 subj give u more #power than 1-2 subj in E Britannica or Wiki https://t.co/yjUYyvuMn3,"['power100', 'powerful', 'deep', 'power']"
2,emckoy,"Award-winning☆ Educator + Speaker + Author + Coach! “Education is HARD work, but it is HEART work.” Now booking for speaking engagements! Learn more on website.",USA,2333,596,2203,0,"🚨 NEW BOOK RELEASE 🚨

Get Ready! Get Ready! Get Ready!

“Empowered to Win"" is being released on January 27, 2022.

 #Powerful stories from 15 Amazing Women.

#6XsAmazonBestsellingAuthor #dressiespeaks #podcasthost #podcast #education #Amazonbestsellingbooks https://t.co/Vq43a9phZx","['Powerful', '6XsAmazonBestsellingAuthor', 'dressiespeaks', 'podcasthost', 'podcast', 'education', 'Amazonbestsellingbooks']"
3,LordSnickers87,,,818,296,3240,0,We need more #smart girls and #powerful #women in the space. But not this BS. https://t.co/L0kS7upzla,"['smart', 'powerful', 'women']"
4,s4msecurity,"Sometimes I work with a bot, sometimes I work manually.
I am sharing about issues in the field of cyber security.
#Software #dataprivacy #cybersecurity #bot",,344,6397,28025,1,#powerful #exploit #assault Women Empowerment site:#Professions e.g. #journalism have ethics https://t.co/SrZrSRAP2d https://t.co/wn8KT5KV3E,"['powerful', 'exploit', 'assault', 'Professions', 'journalism']"
5,WomensPowerCen,Via UTube https://t.co/FLl7KHSUKO book https://t.co/H3cE6jfcFH FB https://t.co/uAdFJsB2uu G+https://t.co/s6ZMJmP2fj & blog we aid women Follow & get 3Dicon inDM,,4831,2961,186689,1,#powerful #exploit #assault Women Empowerment site:#Professions e.g. #journalism have ethics https://t.co/SrZrSRAP2d https://t.co/wn8KT5KV3E,"['powerful', 'exploit', 'assault', 'Professions', 'journalism']"
6,youforreal211,,,70,12,73,2,"It's over. The co-conspirators are #powerful caucasian #men and #women who will never be brought to #justice. 
#GhislaineMaxwell
#GhislaineMaxwellTrial
#JefferyEpstein https://t.co/HkXyPhVZH7","['powerful', 'men', 'women', 'justice']"
7,antonio_hickman,,,3436,1519,172187,2,"It's over. The co-conspirators are #powerful caucasian #men and #women who will never be brought to #justice. 
#GhislaineMaxwell
#GhislaineMaxwellTrial
#JefferyEpstein https://t.co/HkXyPhVZH7","['powerful', 'men', 'women', 'justice']"
8,MrNegroMilitant,"We Are Anonymous. ✊🏾
We Are Legion. 🔁
We Do Not Forgive. ☯️
We Do Not Forget. 🕉
Expect Us. ⚔
#RBKA 🦿

#Anonymous4life ⚖",Sicily. Not Italy. SICILY!!,142611,105181,290173,2,"It's over. The co-conspirators are #powerful caucasian #men and #women who will never be brought to #justice. 
#GhislaineMaxwell
#GhislaineMaxwellTrial
#JefferyEpstein https://t.co/HkXyPhVZH7","['powerful', 'men', 'women', 'justice', 'GhislaineMaxwell', 'GhislaineMaxwellTrial', 'JefferyEpstein']"
9,DivineEssence8,Life Mastery begins with Self Mastery.,"California, USA",477,84,821,0,"If you want to be successful, you must respect 1 rule....never lie to yourself. -Paulo Coelho

#respect #honesty #integrity #success #successful #entrepreneur #boss #ceo #business #cosmopolitan #women #woman #power #powerful #truth https://t.co/nzbmsNTkFc","['respect', 'honesty', 'integrity', 'success', 'successful', 'entrepreneur', 'boss', 'ceo', 'business', 'cosmopolitan', 'women', 'woman', 'power', 'powerful', 'truth']"
